City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,berdyansk,46.7503,36.7944,282.37,81,64,2.05,UA,1969-12-31 19:00:01.682292924-05:00
1,fuxin,42.0156,121.6589,284.61,11,9,2.93,CN,1969-12-31 19:00:01.682292924-05:00
2,west island,-12.1568,96.8225,300.14,89,40,4.63,CC,1969-12-31 19:00:01.682292926-05:00
3,bethel,41.3712,-73.414,287.6,75,75,2.06,US,1969-12-31 19:00:01.682292926-05:00
4,port-aux-francais,-49.35,70.2167,277.22,62,69,14.46,TF,1969-12-31 19:00:01.682292926-05:00
5,mar del plata,-38.0023,-57.5575,289.79,88,6,0.45,AR,1969-12-31 19:00:01.682292753-05:00
6,athens,37.9795,23.7162,288.93,74,20,0.89,GR,1969-12-31 19:00:01.682292604-05:00
7,tanda,26.55,82.65,297.53,28,95,2.91,IN,1969-12-31 19:00:01.682292928-05:00
8,itoman,26.1247,127.6694,296.58,78,20,6.17,JP,1969-12-31 19:00:01.682292928-05:00
9,nova sintra,14.8667,-24.7167,293.55,74,4,9.44,CV,1969-12-31 19:00:01.682292928-05:00
10,margaret river,-33.95,115.0667,286.92,66,84,7.68,AU,1969-12-31 19:00:01.682292930-05:00
11,gaoual,11.75,-13.2,301.76,42,6,2.09,GN,1969-12-31 19:00:01.682292931-05:00
12,ecoporanga,-18.3733,-40.8306,293.91,85,83,3.5,BR,1969-12-31 19:00:01.682292931-05:00
13,adamstown,-25.066,-130.1015,297.41,90,100,8.76,PN,1969-12-31 19:00:01.682292931-05:00
14,georgetown,5.4112,100.3354,299.11,93,20,0.51,MY,1969-12-31 19:00:01.682292580-05:00
15,edinburgh of the seven seas,-37.0676,-12.3116,288.59,70,100,12.43,SH,1969-12-31 19:00:01.682292932-05:00
16,punta arenas,-53.15,-70.9167,280.21,65,0,3.6,CL,1969-12-31 19:00:01.682292712-05:00
17,talnakh,69.4865,88.3972,271.6,86,81,3.28,RU,1969-12-31 19:00:01.682292932-05:00
18,anadyr,64.75,177.4833,268.43,85,20,14.0,RU,1969-12-31 19:00:01.682292933-05:00
19,puerto natales,-51.7236,-72.4875,279.89,93,100,1.11,CL,1969-12-31 19:00:01.682292934-05:00
20,quellon,-43.1167,-73.6167,280.29,93,0,0.0,CL,1969-12-31 19:00:01.682292934-05:00
21,lompoc,34.6391,-120.4579,293.71,80,100,10.8,US,1969-12-31 19:00:01.682292934-05:00
22,collingwood,44.4834,-80.2164,278.92,83,90,0.51,CA,1969-12-31 19:00:01.682292935-05:00
23,chonchi,-42.6128,-73.8092,282.71,96,51,0.34,CL,1969-12-31 19:00:01.682292935-05:00
24,kidal,18.4411,1.4078,303.23,13,68,3.93,ML,1969-12-31 19:00:01.682292935-05:00
25,invercargill,-46.4,168.35,284.83,82,81,0.89,NZ,1969-12-31 19:00:01.682292936-05:00
26,port mathurin,-19.6833,63.4167,299.4,80,22,8.48,MU,1969-12-31 19:00:01.682292936-05:00
27,waitangi,-43.9535,-176.5597,285.83,89,100,1.79,NZ,1969-12-31 19:00:01.682292937-05:00
28,flying fish cove,-10.4217,105.6791,299.98,81,27,7.09,CX,1969-12-31 19:00:01.682292937-05:00
29,uturoa,-16.7333,-151.4333,301.03,77,95,4.34,PF,1969-12-31 19:00:01.682292937-05:00
